Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	1 years	1	2006	2006	1	285462	0.350309323132326
	Black	2054-5	Female	F	1 years	1	2007	2007	2	292000	0.684931506849315
	Black	2054-5	Female	F	1 years	1	2008	2008	3	306564	0.978588483970721
	Black	2054-5	Female	F	2 years	2	2004	2004	2	288839	0.692427269170715
	Black	2054-5	Female	F	2 years	2	2007	2007	1	286185	0.349424323427154
	Black	2054-5	Female	F	3 years	3	2004	2004	1	296458	0.337315909842204
	Black	2054-5	Female	F	3 years	3	2005	2005	1	289630	0.345268100680178
	Black	2054-5	Female	F	3 years	3	2008	2008	1	287549	0.347766815394941
	Black	2054-5	Female	F	4 years	4	2008	2008	2	291459	0.686202862152138
	Black	2054-5	Female	F	5 years	5	2004	2004	1	287012	0.348417487770546
	Black	2054-5	Female	F	5 years	5	2008	2008	1	290909	0.343750107421909
	Black	2054-5	Female	F	7 years	7	2008	2008	1	302244	0.330858511666071
	Black	2054-5	Female	F	8 years	8	2004	2004	1	296229	0.337576672101651
	Black	2054-5	Female	F	8 years	8	2005	2005	1	290953	0.34369812306455
	Black	2054-5	Female	F	8 years	8	2006	2006	1	290884	0.343779650994898
	Black	2054-5	Female	F	8 years	8	2008	2008	3	291902	1.02774218744647
	Black	2054-5	Female	F	9 years	9	2006	2006	1	294549	0.33950208624032
	Black	2054-5	Female	F	9 years	9	2007	2007	1	294860	0.33914400054263
	Black	2054-5	Female	F	9 years	9	2008	2008	1	293071	0.341214245012301
	Black	2054-5	Female	F	10 years	10	2004	2004	1	328583	0.304337108127931
	Black	2054-5	Female	F	10 years	10	2007	2007	1	309114	0.323505244020006
	Black	2054-5	Female	F	11 years	11	2004	2004	1	334504	0.298950087293425
	Black	2054-5	Female	F	11 years	11	2008	2008	1	304460	0.328450371148919
	Black	2054-5	Female	F	13 years	13	2007	2007	1	330147	0.302895376907862
	Black	2054-5	Female	F	14 years	14	2004	2004	3	348140	0.861722295628196
	Black	2054-5	Female	F	14 years	14	2005	2005	2	342791	0.583445889769568
	Black	2054-5	Female	F	14 years	14	2006	2006	2	339696	0.588761716358155
	Black	2054-5	Female	F	15 years	15	2006	2006	1	347853	0.287477756408598
	Black	2054-5	Female	F	15 years	15	2007	2007	1	345265	0.289632601045574
	Black	2054-5	Female	F	17 years	17	2005	2005	1	321646	0.310900803989479
	Black	2054-5	Female	F	17 years	17	2006	2006	3	335370	0.894534394847482
	Black	2054-5	Female	F	18 years	18	2004	2004	1	310151	0.32242359366889
	Black	2054-5	Female	F	18 years	18	2006	2006	2	326764	0.612062528307892
	Black	2054-5	Female	F	18 years	18	2007	2007	1	341041	0.293219876789008
	Black	2054-5	Female	F	18 years	18	2008	2008	3	362706	0.827116176738185
	Black	2054-5	Female	F	19 years	19	2004	2004	1	307381	0.325329151769303
	Black	2054-5	Female	F	19 years	19	2005	2005	2	312396	0.640213062907336
	Black	2054-5	Female	F	19 years	19	2007	2007	2	328414	0.608987436589183
	Black	2054-5	Female	F	19 years	19	2008	2008	1	342383	0.292070575933969
	Black	2054-5	Female	F	20 years	20	2005	2005	2	304965	0.655812962143197
	Black	2054-5	Female	F	20 years	20	2006	2006	1	309102	0.323517803184709
	Black	2054-5	Female	F	20 years	20	2007	2007	5	313385	1.59548159611979
	Black	2054-5	Female	F	20 years	20	2008	2008	1	322608	0.309973714229033
	Black	2054-5	Female	F	21 years	21	2004	2004	2	295368	0.677121421413288
	Black	2054-5	Female	F	21 years	21	2005	2005	2	295295	0.677288812882033
	Black	2054-5	Female	F	21 years	21	2006	2006	3	304754	0.984400532888822
	Black	2054-5	Female	F	21 years	21	2007	2007	2	308310	0.648697739288379
	Black	2054-5	Female	F	21 years	21	2008	2008	3	312128	0.961144145991388
	Black	2054-5	Female	F	22 years	22	2004	2004	3	295343	1.01576810691298
	Black	2054-5	Female	F	22 years	22	2005	2005	4	291200	1.37362637362637
	Black	2054-5	Female	F	22 years	22	2006	2006	4	290344	1.37767613589397
	Black	2054-5	Female	F	22 years	22	2007	2007	3	298436	1.00524065461271
	Black	2054-5	Female	F	22 years	22	2008	2008	4	300876	1.32945133543387
	Black	2054-5	Female	F	23 years	23	2004	2004	4	298833	1.33854025492499
	Black	2054-5	Female	F	23 years	23	2005	2005	1	294654	0.339381104617619
